Date,Open,High,Low,Close,Volume
2010-01-04,0.00364864595915778,0.0032015222321636894,0.003910245484876222,0.0038177539665417634,0.2484197520416734
2010-01-05,0.003851347778362803,0.0033901514720776973,0.004063965112073534,0.0038820767626073643,0.3070258182066214
2010-01-06,0.0038132289118557247,0.003327849407566537,0.003622227618456167,0.003289244076171087,0.2800755834008424
2010-01-07,0.0033575845759269696,0.0027688837329028423,0.0033218499179570593,0.0032214435496803265,0.23942723870560126
2010-01-08,0.003106370245182122,0.002768883443989144,0.003323621330810732,0.0034648348790055974,0.22343397485570096
2010-01-11,0.003539504007011099,0.0029419457492934203,0.003215842588746083,0.0031397459349432957,0.23135400051825708
2010-01-12,0.0029140680516949943,0.0023829776218487336,0.002857152004417253,0.0027242387665177975,0.30299223302433126
2010-01-13,0.002685377416468203,0.0025837131828124194,0.002447216534009089,0.0032336142228229364,0.3091859631105632
2010-01-14,0.0030734503823652767,0.00250237248739419,0.0033165447587091,0.003021511400560589,0.21546085574396087
2010-01-15,0.003215515816097851,0.002699659634711013,0.002759960112119715,0.0024130386106291576,0.3027798592275954
2010-01-19,0.002765070333647153,0.0033209313096316875,0.003002038790857836,0.003996819733110557,0.3764280580242053
2010-01-20,0.0039050452477787656,0.003383220047235125,0.0034013554210841415,0.0034213673987274484,0.31257787603557285
2010-01-21,0.003414758674244886,0.0029955850060217545,0.0029967318568654908,0.0027850782987765,0.3104116633088672
2010-01-22,0.002496533432165035,0.0019901336247830706,0.0012209577001252025,0.0009909456693542526,0.4586470564747976
2010-01-25,0.0017567598589948927,0.0015055821027966515,0.001756346165111826,0.0019158365941574981,0.5582958758146391
2010-01-26,0.0023527404742107114,0.003064816350026471,0.002178646080501327,0.0024147871592597805,0.9924758997727873
2010-01-27,0.0025086508935502627,0.0025231350394428406,0.0016397112345824666,0.0027520440097738227,0.9141676130935165
2010-01-28,0.002176011952560758,0.0016440133898112386,0.0014930561726617594,0.0012586645115103892,0.6167001868726881
2010-01-29,0.0015090107721820664,0.0010729446006378235,0.0,1.7402485580145233e-06,0.6559514153765456
2010-02-01,0.0,0.0,0.000185530439882009,0.00046592180948134415,0.38719237560733083
2010-02-02,0.0006133010442161482,5.537148507485379e-05,0.0005530487935312273,0.0006623651614124371,0.35927280611502177
2010-02-03,0.00048509715660617625,0.0007268307080417064,0.0007368125290701105,0.0012482451536892786,0.3142981037891332
2010-02-04,0.0007553644207216395,0.0004101361534282824,0.00023323332178945555,0.0,0.39140496156115545
2010-02-05,4.505053071569842e-05,4.487687582654942e-09,0.00010602053842612841,0.0005928354531271537,0.4416025423310549
2010-02-08,0.0005751832317976019,0.00032533554728010616,0.0006625952752847275,0.0003598634816229934,0.24004463967182618
2010-02-09,0.0007016652589532102,0.0002595840296307217,0.0007951279991588664,0.0007197463300820869,0.3238109329272082
2010-02-10,0.0006098246561026324,0.00010382146414592008,0.000708532042217512,0.0005337085025177504,0.18158268429752034
2010-02-11,0.0004348575635046495,0.0006489580900594372,0.0006732052652410406,0.00115089083531187,0.2790925961130936
2010-02-12,0.0009944576580007206,0.0009760364440573252,0.0009276491578810789,0.0014481800694998853,0.336045180574884
2010-02-16,0.0016580053587717178,0.0013307969711153292,0.001991348669459332,0.0019732066960636632,0.2755125806824036
2010-02-17,0.00204780708350457,0.0014380804441459782,0.0018747164106968986,0.0018254239031760475,0.21735856731336475
2010-02-18,0.0016042916439472504,0.0013654062869178016,0.0018853269064934772,0.0018914924811814088,0.21000588307923154
2010-02-19,0.0016441495370150966,0.001246002308553068,0.0019189044954840487,0.0016724452648322272,0.20602084047905247
2010-02-22,0.00172730193721405,0.0011248555615689868,0.0015796452620072607,0.0014551244635867128,0.19252751960787132
2010-02-23,0.0013218940483267425,0.0009223806428928852,0.0009647485882418524,0.0008709874865587622,0.2925009674655804
2010-02-24,0.0010152433779251555,0.0009414196585015092,0.0013411071832930069,0.0014968544619977167,0.23045292883782073
2010-02-25,0.0008679846524198148,0.0011871601619967281,0.0011732534497371286,0.0017298153667383923,0.34127716075304065
2010-02-26,0.001734228485221187,0.001586911687742519,0.0020761550671931014,0.002185295684871656,0.2558589027501919
