Date,Open,High,Low,Close,Volume
2010-01-04,6.39500453775006,6.427064888954929,6.363543460401331,6.412383079528809,493729600.0
2010-01-05,6.430061078442964,6.459724331548339,6.389610496850538,6.423469066619873,601904800.0
2010-01-06,6.423468559440848,6.4489372939698555,6.314702773243294,6.321294784545898,552160000.0
2010-01-07,6.344666532568945,6.35215745553289,6.2637661647555,6.309609413146973,477131200.0
2010-01-08,6.301219929854986,6.352157405510102,6.264066552443561,6.351557731628418,447610800.0
2010-01-11,6.376128834997422,6.382121574520934,6.24578995075598,6.295528888702393,462229600.0
2010-01-12,6.267961966518714,6.285341311407179,6.184964923359281,6.223916530609131,594459600.0
2010-01-13,6.228410754835679,6.32009685372256,6.115450034182275,6.311707019805908,605892000.0
2010-01-14,6.295526559588406,6.306013449825419,6.262866541317643,6.275151252746582,432894000.0
2010-01-15,6.320096258460539,6.340171930584544,6.168483588833046,6.170281410217285,594067600.0
2010-01-19,6.242193354345524,6.447739488038697,6.2095341290750055,6.443244934082031,730007600.0
2010-01-20,6.439347860027213,6.458524218183943,6.277248326309705,6.344066143035889,612152800.0
2010-01-21,6.354554584447921,6.3914087254773335,6.208634204684514,6.234402179718018,608154400.0
2010-01-22,6.195750876171056,6.217323935224247,5.90750694778653,5.925184726715088,881767600.0
2010-01-25,6.067809733496142,6.1334282326116565,5.99829555354718,6.084589004516602,1065699600.0
2010-01-26,6.170882408282368,6.403395504972481,6.069907145948617,6.1705827713012695,1867110000.0
2010-01-27,6.197846546944076,6.309608297458981,5.978517161933876,6.228708744049072,1722568400.0
2010-01-28,6.14031785471735,6.1573963548044075,5.953648100550839,5.971325874328613,1173502400.0
2010-01-29,6.0249624320878645,6.0585209718287905,5.700462802205497,5.754695892333984,1245952400.0
2010-02-01,5.763984520056768,5.87275034259647,5.731924163562,5.834697246551514,749876400.0
2010-02-02,5.870052699897905,5.882337413184987,5.79424616170235,5.86855411529541,698342400.0
2010-02-03,5.847880304896154,5.9985944895338,5.825407933817409,5.96953010559082,615328000.0
2010-02-04,5.8946220429801155,5.943761698865939,5.740013389278229,5.754395961761475,757652000.0
2010-02-05,5.771775845114756,5.8727511195988855,5.718441256160312,5.856570720672607,850306800.0
2010-02-08,5.863460363196558,5.929079242796852,5.812822528200335,5.816418170928955,478270800.0
2010-02-09,5.885334968709677,5.917694963683611,5.8352967912917055,5.878443717956543,632886800.0
2010-02-10,5.869451471246659,5.890726087766112,5.820612264617394,5.846380233764648,370361600.0
2010-02-11,5.839191550414985,5.985111551799704,5.814621719363881,5.952751159667969,550345600.0
2010-02-12,5.935972346765966,6.041742203181275,5.8577690932201305,6.003988742828369,655468800.0
2010-02-16,6.0507305026867755,6.1031657718344725,6.038146150105147,6.094476699829102,543737600.0
2010-02-17,6.118145289978052,6.121740932452537,6.018368211557253,6.069006443023682,436396800.0
2010-02-18,6.0414409115183485,6.109158061063668,6.020167488498762,6.080393314361572,422825200.0
2010-02-19,6.048334188824622,6.088484344843397,6.025861414850602,6.042640686035156,415469600.0
2010-02-22,6.062715093311419,6.067508884038335,5.968331462651213,6.005185604095459,390563600.0
2010-02-23,5.992601276821062,6.032452187705773,5.864060236524932,5.904510021209717,575094800.0
2010-02-24,5.93956716125367,6.035748620632016,5.927881320364654,6.012377738952637,460566400.0
2010-02-25,5.914099301501303,6.078296360687781,5.8994174900099265,6.052528381347656,665126000.0
2010-02-26,6.063913014538894,6.147509712831247,6.052527211919814,6.131030082702637,507460800.0
2010-03-01,6.164887859482462,6.2772492941238,6.155899152736769,6.261968612670898,550093600.0
2010-03-02,6.290133940738088,6.317100863904324,6.224515054444151,6.257774353027344,566546400.0
2010-03-03,6.2604711976381715,6.288336633809385,6.230508302822989,6.272156238555908,372052800.0
2010-03-04,6.270658216716701,6.319797071184843,6.2511814169525035,6.313504695892334,366041200.0
2010-03-05,6.440249346937738,6.582873333896936,6.430960601542845,6.56040096282959,899620400.0
2010-03-08,6.5921635971165635,6.5945602933502885,6.539428679035123,6.564298152923584,429889600.0
2010-03-09,6.54122389481149,6.741676191025543,6.5286395443886835,6.682349681854248,920259200.0
2010-03-10,6.706621029859207,6.756059929387045,6.687744300941398,6.736883163452148,596218000.0
2010-03-11,6.709017328440684,6.756657600402832,6.691338749445006,6.756657600402832,405700400.0
2010-03-12,6.8126879031978165,6.823474831799158,6.7641483246888745,6.78961706161499,416323600.0
2010-03-15,6.753062556130419,6.756657399110267,6.599352014921432,6.7069196701049805,493502800.0
